FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,621,924.00,924.00,0.00,70.69
2019,622,1167.47,924.00,0.00,314.16
2019,623,1222.91,924.00,0.00,369.60
2019,624,1269.11,924.00,0.00,415.80
2019,625,936.00,936.00,0.00,71.60
2019,626,1182.64,936.00,0.00,318.24
2019,627,1238.80,936.00,0.00,374.40
2019,628,1285.60,936.00,0.00,421.20
2019,629,936.00,936.00,0.00,71.60
2019,630,1182.64,936.00,0.00,318.24
2019,631,1238.80,936.00,0.00,374.40
2019,632,1285.60,936.00,0.00,421.20
2019,633,948.00,948.00,0.00,72.52
2019,634,1197.80,948.00,0.00,322.32
2019,635,1254.68,948.00,0.00,379.20
2019,636,1302.08,948.00,0.00,426.60
2019,637,948.00,948.00,0.00,72.52
2019,638,1197.80,948.00,0.00,322.32
2019,639,1254.68,948.00,0.00,379.20
2019,640,1302.08,948.00,0.00,426.60
2019,641,960.00,960.00,0.00,73.44
2019,642,1212.96,960.00,0.00,326.40
2019,643,1270.56,960.00,0.00,384.00
2019,644,1318.56,960.00,0.00,432.00
2019,645,960.00,960.00,0.00,73.44
2019,646,1212.96,960.00,0.00,326.40
2019,647,1270.56,960.00,0.00,384.00
2019,648,1318.56,960.00,0.00,432.00
2019,649,972.00,972.00,0.00,74.36
2019,650,1228.12,972.00,0.00,330.48
2019,651,1286.44,972.00,0.00,388.80
2019,652,1335.04,972.00,0.00,437.40
